slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide
ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,2016-05-17,1
ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,2016-05-18,1
ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016,2016-05-18,1
AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,2010-04-02,1
ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,2016-08-31,1
ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016,2016-05-18,1
ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,2020-06-02,1
AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,2010-06-03,1
ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,2020-06-05,1
ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,2020-06-02,1
ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,02 June 2020,2020-06-02,1
ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,02 June 2020,2020-06-02,1
ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,2020-06-02,1
ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth,Slide,02 June 2020,2020-06-02,1
AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Between Mailongdisa and Harangajao Railway stations. CHainage:128.400 km to 128.600 km,25.121,92.915028,Debris,Slide,20 June 2010,2010-06-20,1
AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Between Mailongdisa and Harangajao railway station (Chainage: 130.100 Km to 130.400 Km),25.124306,92.904278,Debris,Slide,02 April 2010,2010-04-02,1
AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,Between Jatinga and Longrangajao Railway stations (Chainage:120.100 km to 120.400 km),25.124583,92.989111,Debris,Slide,16 June 2010,2010-06-16,1
AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,Between Jatinga Lampur Railway Station and Harangajao Railway Station.,25.146306,93.942167,Debris,Slide,14 June 2018,2018-06-14,1
AS/DH/83G04/2018/003,Assam,Dima Hasao,Phiding slide,"Near Phiding Railway Station. Between Mahur and Phiding RS, NFR.",25.224278,93.222861,Debris,Slide,14 June 2018,2018-06-14,1
AS/NC/83G04/2009-10/AS-6,Assam,Dima Hasao,Mahur-Wadringdisa slide,,25.229556,93.1556,Debris,Slide,02 April 2010,2010-04-02,1
AS/DH/83G04/2018/004,Assam,Dima Hasao,Dautohaja Tunnel No. 3 slide.,"Between Phiding and Dautohaja Railway Station, NFR.",26.098167,91.881278,Debris,Slide,14 June 2018,2018-06-14,1
AS/DH/83C16/2018/001,Assam,Dima Hasao,Bandarkhal landslide.,Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station).,26.11,94.76,Debris,Slide,14 June 2018,2018-06-14,1
AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,NH37 towards Shillong.,26.112667,91.853889,Debris,Slide,24 August 2018,2018-08-24,1
ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,13 June 2017,2017-06-13,1
ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672,91.76525,Debris,Slide,13 June 2017,2017-06-13,1
ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,13 June 2017,2017-06-13,1
ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,Tuinang colony,26.18842,91.85125,Earth,Slide,16 June 2017,2017-06-16,1
ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.19081,91.84528,Earth,Slide,04 July 2017,2017-07-04,1
AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of Cow bazaar,26.195306,91.765639,Debris,Slide,24 August 2018,2018-08-24,1
AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,Chandmari Road,26.19622,91.76336,Earth,Flow,23 March 2011,2011-03-23,1
AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide,,26.20261,91.14528,Debris,,20 August 2009,2009-08-20,1
ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,"Panikhaiti, Bongaon, near railway line.",26.20536,91.86497,Debris,Slide,03 July 2017,2017-07-03,1
ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.37456,91.84561,Earth,Slide,04 July 2017,2017-07-04,1
AS/UDA/83B01/2021/02,Assam,Udalguri,,,26.88969,92.12266,Rock-cum- debris,Falls,28 April 2021,2021-04-28,1
AS/UDA/83B01/2021/01,Assam,Udalguri,,,26.89074,92.12068,Rock-cum- debris,Falls,28 April 2021,2021-04-28,1
AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth,Slide,05 July 2024,2024-07-05,1
AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19044,91.77502,Earth,Slide,24 May 2024,2024-05-24,1
ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,South Bagetar,25.16736,93.00953,Debris,Slide,15 May 2022,2022-05-15,1
ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,"Kana Basti, Haflong",25.16023,93.01084,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,South Bagetar,25.16579,93.00948,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,"Kana Basti, Haflong",25.15859,93.01292,Debris,Slide,14 May 2022,2022-05-14,1
AS/KAMRUP(M)/78N16/2014- 15/0006,Assam,Kamrup (Metro),"Dakhingaon, slide.",Near Kahilipara-Ganesh mandir road.,26.13441667,91.74875,Debris,Flow,22 September 2014,2014-09-22,1
AS/KAMRUP(M)/78N16/2014- 15/0007,Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,"About 500 m south of Game village, Lalmati, NH-37",26.10711111,91.78916667,Earth,Flow,23 September 2014,2014-09-23,1
AS/KAMRUP/78N12/2015- 16/0004,Assam,Kamrup,Jorabat-Khanapara,"About 200 m North of NH-31, In front of IIT(G) approach",26.09961111,91.87811111,Earth,Slide the loose soil from top (already cut in the area) due to heavy rain.,25 September 2014,2014-09-25,1
ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,"Mahadev Tilla, Haflong",25.15556,93.021583,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,"Lower Sonpijang, Haflong",25.158138,93.024778,Earth,Slide,15 May 2022,2022-05-15,1
ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,"NH 54, near Nutan Lampur",25.24194444,93.14319444,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/04,Assam,Dima Hasao (N.C. Hills),Mupa – Langting RF Rock slide,"NH 54, Mupa – Langting Reserved Forest,",25.41733333,93.12908333,Rock,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,Tularam Raji Slide 2,"Tularam Raji, Haflong",25.16804,93.02503,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,Tularam Raji Slide 3,"Tularam Raji, Haflong",25.168083,93.024922,Earth,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,"NH 54, near Nutan Lampur,",25.27480556,93.14555556,Rock,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao (N.C. Hills),Mahur railway station slide,"Mahur railway station, Haflong, Dima Hasao (NC Hills)",25.18955556,93.09641667,Debris,Slide,22 May 2016,2016-05-22,1
ASM/KAMRUP(M)/78N16/2016- 17/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan Nagar, Guwahati.",26.19552778,91.78055556,Earth,Slide,22 June 2016,2016-06-22,1
ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,Moulhoi village,25.17483,93.019861,Debris,Slide,15 May 2022,2022-05-15,1
ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,Mahadev Tilla village,25.1568056,93.019722,Debris,Slide,13 May 2022,2022-05-13,1
ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,Natun Basti Slide 5,"Natun Basti, Haflong",25.162667,93.009806,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G4/ PD/2016 /01,Assam,Dima Hasao (N.C. Hills),Migrendisa slide,"Near Migrendisa Railway Station, Migrendisa.",25.17986111,93.07077778,Debris,Slide,17 May 2016,2016-05-17,1
ASM/DH/83G4/PD/2016/02,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(1),West slope of New Haflong Railway Station.,25.14677778,93.03097222,Debris,Slide,17 May 2016,2016-05-17,1
